channel,channelNum
UTV Action,338
UTV Movies,336
V TV,1298
V6 NEWS,0
Vasanth Tv,0
VH1,585
VIP NEWS,666
WE TV,0
WION,765
WOW CINEMA ONE,341
XTRA TAMIL/MALAYALAM CHNLS,1907
Zee 24 Kalak,1291
Zee 24 Taas,1251
Zee Action,310
Zee Anmol,125
Zee Anmol Cinema,355
ZEE Bangla,1409
Zee Bangla Cinema,1433
ZEE BANGLA HD,1408
ZEE BIHAR JHARKHAND,1575
ZEE BIOSKOPE,1555
Zee Bollywood,307
Zee Business,731
Zee Cafe,503
Zee cafe HD,502
Zee Cinema,340
Zee Cinema HD,339
ZEE CINEMALU,1631
Zee Hindustan,654
ZEE Kannada,1709
ZEE KERALAM,1906
ZEE Marathi,1202
Zee Marathi HD,1201
Zee MP Chattisgarh,715
Zee News,651
ZEE NEWS +,652
Zee Odisha,1353
Zee Punjab Haryana Himachal,1189
ZEE PUNJABI,1156
Zee Rajasthan news,727
Zee Salaam,203
ZEE SARTHAK,1302
ZEE TALKIES,1231
Zee Talkies HD,1230
Zee Tamil,1804
Zee Telugu,1602
Zee TV,111
Zee TV HD,110
Zee UP Uttrakhand,707
ZEE VAJWA,1242
Zee Yuva,1204
Zee Zest,903
ZEEPLEX,92
ZEEPLEX HD SCREEN 1,302
ZEEPLEX SCREEN 1,303
ZEEPLEX SCREEN 2,1800
Zing,451
ZING HOME,777
Zoom,147
