channel,channelNum
Enterr10 Bangla ,1923
Living India News ,1924
PTC Punjabi Gold ,1925
Balle Balle ,1926
Zee Punjabi ,1927
DD Punjabi ,1949
DY 365 ,1953
News18 Assam North East ,1954
News Live ,1955
Nepal 1 ,1956
Rang ,1960
Ramdhenu ,1964
Protidin Time ,1965
Prag News ,1966
Rengoni TV ,1970
North East Live ,1971
Indradhanu ,1972
DD Arunprabha ,1995
DD Manipur ,1997
DD NE ,1998
DD Kashir ,1999
,
,
,
Channel Name ,MRP + Tax 
,
Star Utsav ,₹ 1.18 
Zee Anmol ,₹ 0.12 
Colors Rishtey ,₹ 1.18 
Sony Pal ,₹ 1.18 
